Route_No,SPEED_ZONE,Light_Condition,ROAD_TYPE,DIRECTION_LOCATION,NODE_TYPE,Deg_Urban_Name
5931,70,1,ROAD,W,I,MELB_URBAN
161186,70,1,ROAD,W,I,MELB_URBAN
190620,70,1,ROAD,S,I,MELB_URBAN
144354,60,3,ROAD,W,I,MELB_URBAN
204023,60,3,ROAD,W,I,MELB_URBAN
207344,70,1,ROAD,E,I,MELB_URBAN
5449,70,1,ROAD,W,I,MELB_URBAN
125673,70,1,ROAD,W,I,MELB_URBAN
152421,40,1,ROAD,W,I,MELB_URBAN
155438,40,1,ROAD,W,I,MELB_URBAN
200497,40,1,ROAD,W,I,MELB_URBAN
184789,70,1,ROAD,SE,I,MELB_URBAN
5457,60,1,ROAD,S,I,MELB_URBAN
233152,60,1,ROAD,S,I,MELB_URBAN
5458,50,3,ROAD,W,N,MELB_URBAN
5877,60,1,ROAD,W,I,MELB_URBAN
120647,60,1,ROAD,W,I,MELB_URBAN
213248,50,1,STREET,N,I,MELB_URBAN
228451,50,1,STREET,N,I,MELB_URBAN
278643,60,3,STREET,W,I,MELB_URBAN
220870,60,1,STREET,W,I,MELB_URBAN
5462,60,1,STREET,S,I,MELB_URBAN
127524,80,1,ROAD,N,I,MELB_URBAN
167024,80,1,ROAD,N,I,MELB_URBAN
163353,40,1,STREET,E,I,MELB_URBAN
197218,40,1,STREET,E,I,MELB_URBAN
5837,60,3,STREET,W,I,MELB_URBAN
164906,60,3,STREET,W,I,MELB_URBAN
165991,50,1,STREET,SW,I,MELB_URBAN
176570,50,1,STREET,SW,I,MELB_URBAN
155605,50,1,ROAD,W,I,MELB_URBAN
173790,50,1,ROAD,W,I,MELB_URBAN
154340,60,1,ROAD,W,I,MELB_URBAN
191961,60,1,ROAD,W,I,MELB_URBAN
5259,60,3,ROAD,W,I,MELB_URBAN
5874,60,3,ROAD,W,I,MELB_URBAN
5363,60,1,ROAD,SW,I,MELB_URBAN
220872,60,1,ROAD,SW,I,MELB_URBAN
167439,60,1,ROAD,E,I,MELB_URBAN
191488,60,1,ROAD,E,I,MELB_URBAN
5964,60,1,ROAD,W,I,MELB_URBAN
122125,60,1,ROAD,W,I,MELB_URBAN
155681,60,1,ROAD,W,I,MELB_URBAN
171377,60,2,ROAD,W,I,MELB_URBAN
196326,50,1,ROAD,S,I,MELB_URBAN
220871,50,1,ROAD,S,I,MELB_URBAN
108094,60,2,STREET,S,I,MELB_URBAN
166256,70,1,ROAD,W,I,MELB_URBAN
191273,50,2,ROAD,W,I,MELB_URBAN
112326,50,1,STREET,E,I,MELB_URBAN
236383,50,1,STREET,E,I,MELB_URBAN
236386,50,1,STREET,E,I,MELB_URBAN
5804,60,3,ROAD,NW,I,MELB_URBAN
5929,60,3,ROAD,NW,I,MELB_URBAN
225318,70,2,ROAD,N,I,MELB_URBAN
130358,80,1,AVENUE,SE,I,MELB_URBAN
282379,60,1,ROAD,W,I,MELB_URBAN
124352,60,1,AVENUE,E,I,MELB_URBAN
183235,60,1,AVENUE,E,I,MELB_URBAN
111725,50,1,STREET,N,I,MELB_URBAN
209688,50,1,STREET,N,I,MELB_URBAN
124741,50,1,ROAD,N,I,MELB_URBAN
186126,50,1,ROAD,N,I,MELB_URBAN
5738,50,1,STREET,SW,I,MELB_URBAN
177570,50,1,STREET,SW,I,MELB_URBAN
105138,50,3,STREET,SW,I,MELB_URBAN
134461,50,3,STREET,SW,I,MELB_URBAN
136918,60,1,STREET,S,I,MELB_URBAN
